frame,u,v,area,ok
52,1053.4063545150502,157.9071906354515,1196,1
53,1043.4758333333334,155.1525,1200,1
54,1034.504845814978,155.00528634361234,1135,1
55,1025.328813559322,154.91525423728814,1180,1
56,1017.0530035335689,156.97349823321554,1132,1
57,1017.106890459364,156.95936395759716,1132,1
58,1010.3513971210838,159.58933107535987,1181,1
59,1001.1377137713771,164.56975697569757,1111,1
60,994.1755175517552,168.89738973897389,1111,1
61,986.7426536064114,176.77827248441673,1123,1
62,979.9991289198606,182.6114982578397,1148,1
63,980.045574057844,182.6678352322524,1141,1
64,972.6740872662511,191.04897595725734,1123,1
65,965.5580786026201,197.30393013100436,1145,1
66,958.4764862466726,206.42590949423249,1127,1
67,951.3735682819383,214.20176211453744,1135,1
68,943.838768115942,224.12952898550725,1104,1
69,943.8925318761384,224.02914389799636,1098,1
70,937.1471600688468,232.2659208261618,1162,1
71,929.9502617801047,242.66841186736474,1146,1
72,923.778768956289,251.30686886708295,1121,1
73,917.5467372134038,262.68694885361555,1134,1
74,911.6037735849056,270.9179245283019,1060,1
75,911.7225866916589,270.92502343017804,1067,1
76,905.2697056030389,282.2943969610636,1053,1
77,899.5912408759124,291.72536496350364,1096,1
78,894.2283894449499,302.7170154686078,1099,1
79,889.3249063670412,311.1676029962547,1068,1
80,889.2987861811391,311.3389355742297,1071,1
81,883.4126679462572,322.18426103646834,1042,1
82,878.603,330.639,1000,1
83,873.5822532402792,341.01794616151545,1003,1
84,867.9679922405431,349.7701260911736,1031,1
85,867.9416342412451,349.8540856031128,1028,1
86,862.9463364293085,359.06501547987614,969,1
87,857.8023255813954,367.14904862579283,946,1
88,851.0617848970252,375.70480549199084,874,1
89,845.4104903078677,383.27023945267956,877,1
90,845.4186575654153,383.287827076223,879,1
91,838.7302483069977,392.50338600451465,886,1
92,832.3914053426248,399.5656213704994,861,1
93,827.2868757259001,407.70150987224156,861,1
94,827.2914691943128,407.51066350710903,844,1
95,820.3927710843374,413.1710843373494,830,1
96,814.8244620611551,421.3295583238958,883,1
97,810.4556818181818,425.40340909090907,880,1
98,805.6598173515981,432.61301369863014,876,1
99,805.75,432.62214611872145,876,1
100,801.6801909307876,437.2159904534606,838,1
101,798.1032028469751,445.5278766310795,843,1
102,796.0011415525114,451.2853881278539,876,1
103,796.2068965517242,451.3045977011494,870,1
104,794.3166259168704,458.76528117359413,818,1
105,792.8305274971941,466.1212121212121,891,1
106,792.7316062176166,476.24870466321244,965,1
107,792.8415529905561,476.0849947534103,953,1
108,793.5871459694989,483.17538126361654,918,1
109,795.7755308392316,494.103134479272,989,1
110,799.0419512195122,503.3160975609756,1025,1
111,803.3798730734361,515.2964641885766,1103,1
112,803.4567567567567,515.3603603603603,1110,1
113,808.9502664298401,525.809946714032,1126,1
114,816.3190394511149,537.5960548885078,1166,1
115,825.0018850141377,547.4137606032045,1061,1
116,825.0704887218045,547.4398496240601,1064,1
117,833.6076233183857,559.7017937219731,892,1
118,847.3021834061135,575.4803493449782,1145,1
119,859.5394265232975,589.2858422939069,1116,1
120,872.0366642703091,604.3019410496046,1391,1
121,872.2514285714286,604.3857142857142,1400,1
122,888.0121951219512,621.1239837398374,1476,1
123,904.4082721814543,636.7244829886591,1499,1
124,922.508698677801,652.3771746694503,1437,1
125,923.0825877494839,652.7198898830006,1453,1
126,944.9397689768977,670.4818481848184,1212,1
127,967.8359756097561,690.0219512195122,1640,1
128,988.9921208141825,704.4799737360473,1523,1
129,1015.565268065268,714.4195804195804,858,1
130,1016.078335373317,714.5716034271726,817,1
131,1039.7383292383292,716.2420147420147,814,1
132,1052.7269076305222,720.0763052208836,996,1
133,1063.9839797639122,724.3347386172006,1186,1
134,1076.766439909297,727.8201058201058,1323,1
135,1076.8241017964071,727.9071856287425,1336,1
136,1090.8264781491002,730.3997429305913,1556,1
137,1102.2343042071197,733.3145631067961,1545,1
138,1118.2813969106783,736.3324378777703,1489,1
139,1130.4151758173966,743.7631091918569,1621,1
140,1147.2996845425866,747.997476340694,1585,1
141,1156.5135135135135,753.2048648648648,1850,1
142,1167.2845303867402,761.8563535911602,1810,1
143,1174.634214969049,775.8086662915025,1777,1
144,1181.6218005295675,786.7378640776699,2266,1
145,1185.96,800.5830434782608,2300,1
146,1190.5873157659669,820.124162572577,2239,1
147,1192.739060832444,833.6803628601921,1874,1
148,1192.8713327745181,822.2024308466052,2386,1
149,1194.7658008658009,808.8233766233766,2310,1
